ano,valor,pais,codigo_pais,indicador,categoria
2023,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,"Macao SAR, China",MO,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
