ano,valor,pais,codigo_pais,indicador,categoria
2023,52.3812659719648,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,48.188818095314,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,52.5838575030141,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,48.6800956053536,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,40.1543056028308,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,36.6742909998618,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,32.685689411013,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,33.7401900962348,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,29.8753777382805,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,26.8946120001805,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,69.7344601261207,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,68.2675567269125,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,57.7415312557776,Papua New Guinea,PG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
