ano,valor,pais,codigo_pais,indicador,categoria
2023,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Paraguay,PY,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
