ano,valor,pais,codigo_pais,indicador,categoria
2023,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Qatar,QA,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
