ano,valor,pais,codigo_pais,indicador,categoria
2023,177.001669924649,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,157.363109274773,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,150.141912840552,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,151.566324742808,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,127.826745717478,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,110.757602622235,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,109.329418386523,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,109.05642242549,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,103.320839751929,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,99.6097986729595,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,99.4464888561159,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,107.828093624626,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,104.78518384861,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,101.449782417951,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,106.372468302322,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,96.4099647516113,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,77.2760743035509,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,82.8374805427534,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,94.9666937754733,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,101.779018993689,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,108.589983770079,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,106.332540928351,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,93.9363125102557,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,83.842291725532,Singapore,SG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
