ano,valor,pais,codigo_pais,indicador,categoria
2023,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,South Sudan,SS,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
