ano,valor,pais,codigo_pais,indicador,categoria
2023,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Tuvalu,TV,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
