ano,valor,pais,codigo_pais,indicador,categoria
2023,53.1469350748667,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,53.890283064004,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,51.3026623500196,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,44.1859143089924,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,38.4769453120331,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,34.6735709945694,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Uganda,UG,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
