ano,valor,pais,codigo_pais,indicador,categoria
2023,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Uzbekistan,UZ,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
