ano,valor,pais,codigo_pais,indicador,categoria
2023,18.3130575875522,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,18.6103319960467,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,16.3773571246349,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,16.0320683194889,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,13.6271086543806,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,14.7370417836244,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,14.9472059883342,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,13.4001933039204,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,13.4545912156732,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,9.21632749724051,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,9.93060164103365,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,11.3215604705724,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,9.60983909951552,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,10.6252444022858,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,10.4786765320953,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,11.0198789267792,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,10.6613980449347,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,9.75267521167762,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,10.5281294074699,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,10.1072584827044,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,10.3190259166705,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,9.08261519702029,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,8.2941205356375,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Cote d'Ivoire,CI,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
