ano,valor,pais,codigo_pais,indicador,categoria
2023,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Dominica,DM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
