ano,valor,pais,codigo_pais,indicador,categoria
2023,,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,29.829620488055,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,25.7899378239332,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,26.5577947196904,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,26.6616007704384,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,26.2014403357146,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,25.7864695383499,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,25.6804618517507,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,25.0159858498313,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,27.5103722033504,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,28.2010759070268,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,28.901745665482,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,36.3313637668722,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,31.0944272119207,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,28.5533814496314,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,28.6236106719569,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,27.4534629203343,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,30.2543359869977,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,31.8172136416227,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,29.9816975698909,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,26.8760882004526,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,24.7438310311065,Jamaica,JM,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
