ano,valor,pais,codigo_pais,indicador,categoria
2023,34.6255496483292,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,36.3393668497174,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,38.5253195726848,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,36.2189154656701,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,31.7652338159017,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,30.6512990258421,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,30.425906349079,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,30.6890668667795,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,31.2338058250113,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,32.2820402619424,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,31.6898152607786,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,31.9341020414488,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,35.1497338007643,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,39.5781686309654,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,37.825780697154,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,30.6437067559111,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,26.1011141817687,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,27.8064170996318,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,28.2232954424469,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,28.2719544290178,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,28.447972720743,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,29.795769058541,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,29.7020664850077,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,32.4160143661631,Latvia,LV,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
