ano,valor,pais,codigo_pais,indicador,categoria
2023,34.8320175699925,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,32.2783659538064,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,29.9554323731733,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,32.7222723725292,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,28.2718051226835,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,27.7835978216092,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,27.2406325954008,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,26.6745413540011,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,28.3300680569036,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,29.3674215047913,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,27.1282700817793,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,27.8544262189137,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,27.3599576796909,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,29.1436569247624,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,38.0409977507291,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,32.7791551444646,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,32.409507767172,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,31.8666487911695,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,29.3182301072984,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,27.2583666333666,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,22.2165900286035,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,22.279049384535,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,28.9252674761688,Moldova,MD,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
