ano,valor,pais,codigo_pais,indicador,categoria
2023,18.8749614157504,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,19.5599261033142,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,20.3056091539863,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,21.5299234136986,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,19.3459477614836,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,18.6862551605661,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,18.6727527881822,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,18.4596733146591,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,16.9330145798429,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,17.4176076115731,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Rwanda,RW,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
