ano,valor,pais,codigo_pais,indicador,categoria
2023,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,27.05163158652,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,31.0882898989222,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,31.9131435950908,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,28.9846377624575,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,27.5769567192301,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,30.2343767509483,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,29.7449482993141,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,30.6740676726744,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,30.1602671454676,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,30.5006730113438,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,25.2929239702425,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,24.9990552803986,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Solomon Islands,SB,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
