ano,valor,pais,codigo_pais,indicador,categoria
2023,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,35.4693044866048,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,37.6982895078739,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,42.5376524683873,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,35.742587631728,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,35.1923667823381,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,36.1410383011071,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,37.7905966728824,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,39.0527737026285,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,40.9109680719636,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,39.1277174777981,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,35.4259392948407,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,34.0831778366048,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,35.1190464053724,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,34.5091263592732,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,34.5414592727477,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,33.0653352858747,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Serbia,RS,GC.XPN.TOTL.GD.ZS,"Economy & Growth, Public Sector "
