ano,valor,pais,codigo_pais,indicador,categoria
2023,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,,Andorra,AD,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
