ano,valor,pais,codigo_pais,indicador,categoria
2023,14.4408262093734,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,12.3004999986493,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,13.2274599967551,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,15.1724799997493,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,15.7553800018083,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,15.9400300007701,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,17.2597737600181,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,14.8218796578137,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,17.0676606236635,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,16.6757875879937,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,14.9729547921906,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,11.5501330018626,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,13.127820098599,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,11.6258010719319,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,9.84164990187971,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,11.0036647020449,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,14.1153274204234,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,14.3160051485309,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,13.3627533256972,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,13.997917508823,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,18.2360038377682,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,15.96270493648,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,17.1572538375263,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,20.3722135905975,Central African Republic,CF,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
