ano,valor,pais,codigo_pais,indicador,categoria
2023,26.8675598855334,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,30.3776176106912,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,22.7742898827032,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,20.1420748833617,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,28.4244012431975,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,31.5360236539412,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,30.9026308764808,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,29.0925694335543,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,28.3906461296836,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,28.2819119746319,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,23.2721660778614,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,21.7806921029485,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,22.7196386760737,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,21.8743805186609,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,20.3758298355971,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,27.7071993998824,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,27.7962071422596,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,27.4869137812158,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,24.3193861068762,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,19.4573064554058,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,13.6941628175957,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,21.8155744053565,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,20.070249419803,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,19.1196684495627,Madagascar,MG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
