ano,valor,pais,codigo_pais,indicador,categoria
2023,24.0744573859555,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,24.3948255658574,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,22.3372987322993,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,21.7285787458231,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,27.3503056565813,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,27.8839087705317,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,27.5873336910609,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,26.639813972,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,27.9525601318731,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,27.9795137186391,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,28.813086079288,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,28.8587271373003,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,30.3943106604704,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,30.2736276814431,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,28.73391077007,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,32.0787092277964,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,29.2731139479196,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,29.6086137531685,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,28.2851654320382,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,29.5434106069527,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,29.8397254017245,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,32.8470717038637,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,35.4310398408851,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,35.7454584901409,New Zealand,NZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
