ano,valor,pais,codigo_pais,indicador,categoria
2023,19.7336576333817,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,17.6819185644467,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,16.1535261662293,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,13.6525990610464,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,13.0675548124045,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,14.2123377080212,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,13.0465010247131,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,16.1359578906937,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,16.8715688859635,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,19.1628937165347,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,18.6178689226979,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,19.5524000375011,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,,Somalia,SO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
