ano,valor,pais,codigo_pais,indicador,categoria
2023,67.5888031767855,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2022,83.8849419476276,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2021,104.151886769747,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2020,105.006642730875,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2019,86.0748926105104,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2018,84.732912100644,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2017,85.7142699282465,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2016,91.3302217488821,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2015,80.4154639528465,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2014,70.522973244206,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2013,73.5435614911053,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2012,69.1932584997682,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2011,70.5642908723285,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2010,64.8981549562732,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2009,54.7919777524588,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2008,29.2430682607578,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2007,31.7603379636547,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2006,31.9881885928206,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2005,38.5750336386734,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2004,56.5888045570056,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2003,68.8336104106055,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2002,69.9371558433651,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2001,64.6369814678621,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2000,51.6822939077758,Armenia,AM,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
