ano,valor,pais,codigo_pais,indicador,categoria
2023,37.7188984920597,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2022,40.4496429954796,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2021,41.6573353164787,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2020,36.6731238105883,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2019,35.6032919053987,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2018,32.9151583291602,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2017,33.1560325711326,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2016,37.6072960353184,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2015,40.2403643094617,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2014,34.5708875825896,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2013,35.0313396875768,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2012,22.8927290485723,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2011,23.3354146990662,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2010,29.472389119119,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2009,26.7092531158995,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2008,50.6847428875716,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2007,60.9707280853322,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2006,72.333002976006,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2005,78.6927429751107,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2004,88.7337283484792,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2003,93.3939243176908,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2002,109.790734373987,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2001,90.2675124557402,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2000,96.1632742399465,Central African Republic,CF,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
