ano,valor,pais,codigo_pais,indicador,categoria
2023,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2022,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2021,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2020,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2019,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2018,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2017,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2016,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2015,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2014,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2013,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2012,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2011,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2010,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2009,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2008,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2007,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2006,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2005,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2004,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2003,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2002,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2001,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2000,,Channel Islands,JG,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
