ano,valor,pais,codigo_pais,indicador,categoria
2023,48.4917831428177,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2022,60.166875277333,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2021,55.3770368408812,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2020,52.4509908313685,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2019,49.1976559651726,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2018,48.0489804331597,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2017,44.6656557956591,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2016,45.3518713196716,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2015,43.6611708062144,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2014,39.5474651945422,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2013,34.9016647452037,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2012,31.2787602878532,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2011,24.8568361047247,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2010,22.3714981465768,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2009,26.1006843136322,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2008,29.2602154970458,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2007,32.1166143726683,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2006,31.7127517689364,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2005,33.6252035961976,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2004,32.0398101429997,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2003,34.2980454223933,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2002,32.0583434487143,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2001,32.057598472207,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
2000,32.7558032700072,Costa Rica,CR,DT.DOD.DECT.GN.ZS,"Economy & Growth, External Debt"
