ano,valor,pais,codigo_pais,indicador,categoria
2023,15.2,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2022,16.7,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2021,13.0,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2020,11.5,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2019,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2018,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2017,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2016,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2015,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2014,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2013,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2012,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2011,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2010,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2009,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2008,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2007,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2006,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2005,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2004,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2003,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2002,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2001,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
2000,,Afghanistan,AF,NE.GDI.TOTL.ZS,Economy & Growth
