ano,valor,pais,codigo_pais,indicador,categoria
2023,24.5764946902913,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2022,24.5373792637435,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2021,26.1046273792677,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2020,29.5787498388343,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2019,26.4377929043745,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2018,25.7344532320312,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2017,26.0443143419626,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2016,25.561928395454,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2015,25.0748632817703,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2014,25.5531960420311,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2013,25.1549339552027,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2012,26.66022900376,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2011,28.4924187348254,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2010,25.8955591965806,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2009,28.3419894943657,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2008,27.4120262151199,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2007,26.7888145984599,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2006,27.9189340638126,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2005,27.1892189955534,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2004,24.548464470039,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2003,25.9844181861728,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2002,26.2149402183817,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2001,27.695136995311,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
2000,27.2341910868659,Switzerland,CH,NE.GDI.TOTL.ZS,Economy & Growth
