ano,valor,pais,codigo_pais,indicador,categoria
2023,21.4485365984717,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2022,22.2936144889134,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2021,20.9726418928949,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2020,17.5849131583058,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2019,21.0492332374706,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2018,22.5404391233328,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2017,22.4803878213361,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2016,20.2460508591084,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2015,22.6864358338097,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2014,24.7058907826623,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2013,24.8833528938608,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2012,23.0133036457677,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2011,23.5320911453288,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2010,23.4900158733515,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2009,21.1732351412126,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2008,21.5659407925863,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2007,18.3175597771056,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2006,18.118128561743,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2005,17.4645010337808,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2004,16.2503185471483,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2003,15.7730766736655,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2002,19.6562625754518,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2001,18.4913081237538,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
2000,17.1669504072431,Ecuador,EC,NE.GDI.TOTL.ZS,Economy & Growth
