ano,valor,pais,codigo_pais,indicador,categoria
2023,27.694515970385,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2022,28.9736561167561,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2021,30.4701833404119,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2020,29.6577202670176,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2019,26.356088071314,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2018,27.8503992212561,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2017,25.9381976210924,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2016,24.7023530937166,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2015,24.6409611018289,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2014,26.727615908803,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2013,26.8697121064814,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2012,29.0805066900785,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2011,25.4681664047184,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2010,21.5876781655604,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2009,21.0087753498274,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2008,31.6334055843093,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2007,40.0058943445447,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2006,39.8256877468792,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2005,33.3508381603819,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2004,34.6488549298291,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2003,35.1880300634078,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2002,32.9307657546669,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2001,29.6026320949271,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
2000,28.4761032107323,Estonia,EE,NE.GDI.TOTL.ZS,Economy & Growth
