ano,valor,pais,codigo_pais,indicador,categoria
2023,23.1533644509286,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2022,24.1891253222165,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2021,23.4474845782806,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2020,22.8044182138435,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2019,23.0250733613606,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2018,22.6115738942638,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2017,22.1813991959176,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2016,21.5978606152326,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2015,21.7165418613305,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2014,21.8364708236132,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2013,21.520441960601,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2012,21.8295648772748,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2011,22.4996452716579,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2010,21.3378695020042,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2009,20.7177586249113,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2008,23.4671040402669,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2007,23.5691050042771,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2006,22.6851885959248,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2005,21.9113534781153,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2004,21.3643685480586,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2003,20.6506168230936,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2002,20.7001905304491,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2001,21.5146500727515,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
2000,21.8578770673408,France,FR,NE.GDI.TOTL.ZS,Economy & Growth
