ano,valor,pais,codigo_pais,indicador,categoria
2023,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2022,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2021,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2020,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2019,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2018,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2017,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2016,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2015,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2014,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2013,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2012,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2011,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2010,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2009,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2008,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2007,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2006,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2005,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2004,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2003,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2002,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2001,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
2000,,Gibraltar,GI,NE.GDI.TOTL.ZS,Economy & Growth
