ano,valor,pais,codigo_pais,indicador,categoria
2023,26.3322520716791,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2022,22.9185833312825,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2021,23.1108973888954,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2020,42.4628478103114,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2019,53.7135535203871,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2018,28.197121467923,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2017,34.0175752653868,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2016,35.5941897092708,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2015,26.0589198204991,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2014,21.911656975326,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2013,18.3370894869621,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2012,19.8576621385611,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2011,17.0788245574895,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2010,17.2716650019484,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2009,20.3036686340799,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2008,24.6670937529866,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2007,29.2481055759668,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2006,31.8932052929498,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2005,30.3097495862833,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2004,27.2182633667919,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2003,25.7442230479854,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2002,24.0825971908065,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2001,24.2562415894467,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
2000,24.5079507553549,Ireland,IE,NE.GDI.TOTL.ZS,Economy & Growth
