ano,valor,pais,codigo_pais,indicador,categoria
2023,26.1770855676398,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2022,26.587638850898,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2021,25.7190473484513,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2020,25.2463189703306,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2019,25.7896961306359,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2018,25.6417143090178,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2017,25.2148269758242,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2016,24.8355973184149,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2015,25.1653478796719,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2014,25.0363619892408,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2013,24.4176240405457,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2012,24.0049297197241,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2011,23.5405686895679,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2010,22.5903041279796,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2009,22.6031764761029,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2008,25.869579962101,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2007,25.7687401593638,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2006,26.0775543929763,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2005,26.052325978807,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2004,25.638207264098,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2003,25.6609651799745,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2002,25.8988591910406,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2001,27.7549548681953,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
2000,28.417439318872,Japan,JP,NE.GDI.TOTL.ZS,Economy & Growth
