ano,valor,pais,codigo_pais,indicador,categoria
2023,29.743445170011,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2022,24.9759095791804,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2021,26.5334355873452,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2020,28.8069153648376,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2019,27.6275749485747,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2018,25.258212709599,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2017,26.3524825267661,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2016,27.8275828886455,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2015,27.9079156027413,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2014,25.7902472414133,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2013,24.5696053585629,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2012,25.2296602336096,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2011,22.9981460184012,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2010,25.3735490201768,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2009,29.4145645191248,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2008,27.5064843034904,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2007,35.5266994941709,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2006,33.9007913190431,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2005,30.9697680425121,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2004,26.3110896798392,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2003,25.703912594675,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2002,27.2877232823977,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2001,26.8764228364096,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
2000,18.139048031664,Kazakhstan,KZ,NE.GDI.TOTL.ZS,Economy & Growth
