ano,valor,pais,codigo_pais,indicador,categoria
2023,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2022,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2021,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2020,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2019,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2018,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2017,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2016,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2015,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2014,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2013,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2012,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2011,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2010,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2009,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2008,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2007,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2006,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2005,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2004,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2003,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2002,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2001,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
2000,,Myanmar,MM,NE.GDI.TOTL.ZS,Economy & Growth
