ano,valor,pais,codigo_pais,indicador,categoria
2023,19.8824088883357,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2022,43.2043468044561,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2021,40.369313777893,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2020,44.8266764679686,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2019,40.8461199313593,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2018,45.9807658182121,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2017,32.2043068430655,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2016,46.2803958702032,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2015,42.245787501845,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2014,53.6431747577994,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2013,56.3958108944659,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2012,50.5904295928331,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2011,29.4060839527514,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2010,23.195521262122,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2009,19.7560524022268,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2008,22.0302459322751,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2007,22.3504915090903,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2006,23.9349486697295,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2005,25.3698573633999,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2004,28.5978286726962,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2003,33.4266191606781,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2002,40.5930874570462,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2001,33.5003655629406,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
2000,41.1306699228634,Mozambique,MZ,NE.GDI.TOTL.ZS,Economy & Growth
