ano,valor,pais,codigo_pais,indicador,categoria
2023,26.446775142129,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2022,29.6208107643846,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2021,27.5604161245789,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2020,28.4897323087862,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2019,30.6723209374769,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2018,28.9187722247215,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2017,26.0152521380461,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2016,27.5210696310413,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2015,32.3568228692158,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2014,31.1100819925506,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2013,29.7124814690798,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2012,29.3142436915252,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2011,31.613128828242,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2010,32.6404605165102,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2009,28.4722719649335,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2008,26.4435525343116,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2007,18.9137733233404,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2006,19.8084879016599,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2005,19.3354300345284,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2004,12.4971525069023,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2003,13.930300225432,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2002,14.6260219197075,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2001,13.7924282479468,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
2000,13.1422096449305,Niger,NE,NE.GDI.TOTL.ZS,Economy & Growth
