ano,valor,pais,codigo_pais,indicador,categoria
2023,23.5633177564404,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2022,25.7865982772444,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2021,25.160205464554,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2020,22.9334861825898,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2019,23.6808790528515,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2018,23.9332011640478,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2017,23.6396031975344,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2016,23.084350136536,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2015,23.1447511129731,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2014,22.991442074339,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2013,22.1364536484577,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2012,21.1196630711652,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2011,20.5600150213585,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2010,20.1748777920941,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2009,19.7352642982497,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2008,22.7273687211598,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2007,24.7759451018626,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2006,23.7593311783447,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2005,25.4208681883182,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2004,25.2816076708571,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2003,24.128385766287,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2002,22.7465398243836,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2001,22.9520169059606,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
2000,22.0345630387436,New Zealand,NZ,NE.GDI.TOTL.ZS,Economy & Growth
