ano,valor,pais,codigo_pais,indicador,categoria
2023,,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2022,30.6432344873876,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2021,36.8015620850895,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2020,43.8492040222008,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2019,43.7354058408889,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2018,40.6591002641156,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2017,42.6113615486274,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2016,48.8690702249518,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2015,37.0671762300681,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2014,31.7900727516147,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2013,27.8279049329909,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2012,27.1444010434485,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2011,29.0318365495885,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2010,31.2768696503041,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2009,42.9640491480002,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2008,41.1179671245022,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2007,46.0165706250517,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2006,41.8887149103609,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2005,34.3078887785256,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2004,31.5110118429254,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2003,34.8656946406266,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2002,32.6471255887861,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2001,29.1196741854637,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
2000,20.1512854623643,Qatar,QA,NE.GDI.TOTL.ZS,Economy & Growth
