ano,valor,pais,codigo_pais,indicador,categoria
2023,25.7736168430604,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2022,26.9666630681205,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2021,26.2841730432192,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2020,24.1959598343127,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2019,24.252537482587,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2018,22.8848270580746,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2017,23.9867377562262,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2016,23.6646873522112,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2015,25.4960152893431,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2014,25.2257196462876,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2013,25.2514905784046,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2012,26.722226631147,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2011,27.809701397226,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2010,27.1890794202952,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2009,27.2026687279957,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2008,33.0936844355478,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2007,31.3370187913254,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2006,27.4669698502695,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2005,22.9306854622381,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2004,24.2165645026754,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2003,23.1953192411743,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2002,22.1726981083131,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2001,22.7560110876947,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
2000,19.6695811091698,Romania,RO,NE.GDI.TOTL.ZS,Economy & Growth
