ano,valor,pais,codigo_pais,indicador,categoria
2023,34.4111563617742,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2022,34.8667419109999,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2021,37.6931748383509,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2020,37.5933580339099,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2019,39.1565362701328,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2018,34.9925116035955,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2017,27.2291863632741,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2016,25.7592542108704,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2015,26.3433388950841,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2014,27.9591702320373,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2013,27.4742199751171,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2012,30.0719329556858,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2011,26.7079576787461,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2010,27.1781979327199,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2009,29.9477879762474,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2008,32.0363460936417,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2007,28.2057467186946,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2006,29.6100809944662,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2005,28.0,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2004,24.5,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2003,20.8,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2002,21.1999946310166,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2001,21.0999939090005,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
2000,19.6000122865217,Uzbekistan,UZ,NE.GDI.TOTL.ZS,Economy & Growth
