ano,valor,pais,codigo_pais,indicador,categoria
2023,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2022,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2021,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2020,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2019,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2018,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2017,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2016,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2015,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2014,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2013,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2012,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2011,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2010,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2009,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2008,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2007,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2006,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2005,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2004,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2003,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2002,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2001,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
2000,,Virgin Islands (U.S.),VI,NE.GDI.TOTL.ZS,Economy & Growth
