ano,valor,pais,codigo_pais,indicador,categoria
2023,16.2740397950954,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2022,14.6103385551648,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2021,15.5070578715947,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2020,13.1460811589194,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2019,13.7993517680491,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2018,14.1483062432065,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2017,3.33973895225533,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2016,9.86137059590222,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2015,10.035640419865,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2014,9.63922397841605,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2013,9.20947911635942,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2012,9.85697689349878,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2011,17.3977660333253,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2010,18.7633009123198,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2009,12.746801651552,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2008,5.12790625311106,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2007,7.10975335916338,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2006,1.57116139147759,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2005,1.52517667801545,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2004,4.50911485713514,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2003,7.99999923178883,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2002,4.99999968464786,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2001,10.2664734377554,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
2000,13.5694238181719,Zimbabwe,ZW,NE.GDI.TOTL.ZS,Economy & Growth
