ano,valor,pais,codigo_pais,indicador,categoria
2023,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2022,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2021,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2020,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2019,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2018,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2017,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2016,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2015,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2014,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2013,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2012,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2011,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2010,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2009,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2008,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2007,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2006,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2005,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2004,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2003,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2002,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2001,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
2000,,Channel Islands,JG,NY.GNS.ICTR.ZS,Economy & Growth
