ano,valor,pais,codigo_pais,indicador,categoria
2023,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2022,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2021,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2020,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2019,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2018,-11.1554977238554,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2017,7.31148315150875,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2016,5.50548168755235,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2015,5.3227581851549,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2014,8.36367289499993,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2013,5.9554741442414,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2012,0.0429474070285502,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2011,4.59100514099058,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2010,4.35878649121336,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2009,-1.36822129682627,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2008,-5.32136495015756,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2007,0.308552298188171,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2006,8.8072772486354,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2005,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2004,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2003,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2002,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2001,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
2000,,Dominica,DM,NY.GNS.ICTR.ZS,Economy & Growth
