ano,valor,pais,codigo_pais,indicador,categoria
2023,23.381514836491,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2022,24.5689918734199,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2021,27.2491644591325,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2020,25.6643485218334,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2019,26.5580733060463,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2018,26.4323994483888,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2017,26.1880439815039,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2016,23.9188833040872,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2015,24.5651407354592,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2014,25.8474582593589,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2013,25.7590817333901,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2012,26.2546765452171,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2011,26.3947830998057,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2010,23.3553362858611,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2009,23.7495667679197,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2008,23.435445332396,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2007,24.3484978013959,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2006,24.5884454657494,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2005,24.2500374205425,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2004,22.2419474586789,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2003,21.9231926722633,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2002,21.9493138550131,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2001,23.1447331879737,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
2000,23.7709564067745,Estonia,EE,NY.GNS.ICTR.ZS,Economy & Growth
