ano,valor,pais,codigo_pais,indicador,categoria
2023,19.1764060457043,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2022,21.5541374091234,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2021,25.0785653427702,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2020,27.129107081382,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2019,29.0304503786542,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2018,33.1630792376089,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2017,30.590012549498,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2016,30.9532040245138,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2015,29.5221595369335,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2014,31.4503317800952,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2013,28.3347635910272,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2012,30.9122556145166,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2011,32.5582758195662,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2010,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2009,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2008,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2007,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2006,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2005,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2004,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2003,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2002,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2001,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
2000,,Ethiopia,ET,NY.GNS.ICTR.ZS,Economy & Growth
