ano,valor,pais,codigo_pais,indicador,categoria
2023,14.0730457649544,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2022,17.8298210993909,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2021,15.5944657106095,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2020,21.0755191994104,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2019,17.5906393130953,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2018,19.9978831721275,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2017,15.8596322936306,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2016,18.6351970656158,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2015,21.1030520908018,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2014,18.232905467115,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2013,15.194813255799,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2012,5.26751918545763,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2011,3.8817620783489,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2010,4.87086082915232,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2009,11.0362033554831,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2008,4.34097386962774,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2007,6.74378205731545,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2006,17.4115362889624,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2005,19.2073105174027,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2004,22.8716914774714,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2003,21.1562882203583,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2002,18.7543227313659,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2001,21.0927220999351,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
2000,15.265862335031,Ghana,GH,NY.GNS.ICTR.ZS,Economy & Growth
