ano,valor,pais,codigo_pais,indicador,categoria
2023,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2022,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2021,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2020,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2019,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2018,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2017,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2016,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2015,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2014,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2013,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2012,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2011,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2010,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2009,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2008,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2007,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2006,,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2005,17.4754473139932,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2004,19.2898019244125,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2003,11.1780985434251,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2002,6.67718740305465,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2001,6.71541564183329,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
2000,9.59245344886014,Guyana,GY,NY.GNS.ICTR.ZS,Economy & Growth
