ano,valor,pais,codigo_pais,indicador,categoria
2023,24.5765262512696,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2022,25.4147023803232,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2021,28.6115730628268,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2020,25.971076793207,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2019,24.0416524248707,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2018,25.7310777729923,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2017,26.6501787796092,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2016,25.4616417796271,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2015,24.8585789100752,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2014,25.2142312299062,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2013,25.5491717088387,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2012,26.7984114975549,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2011,29.7011051351653,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2010,30.891865807468,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2009,31.7309332729078,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2008,36.0229572153312,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2007,34.4167444929359,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2006,34.9776120007146,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2005,32.9408898770809,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2004,32.3057899681093,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2003,33.165804594575,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2002,31.0734031351075,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2001,31.6255941521679,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
2000,31.9780511659929,"Hong Kong SAR, China",HK,NY.GNS.ICTR.ZS,Economy & Growth
