ano,valor,pais,codigo_pais,indicador,categoria
2023,33.7881266934558,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2022,34.4485036010028,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2021,36.7514280738819,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2020,36.2287463601759,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2019,34.7803823269428,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2018,35.8551228493758,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2017,37.0140639473395,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2016,36.7852255424954,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2015,36.3486646845238,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2014,34.9870815269972,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2013,34.8490893947678,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2012,34.6637869433941,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2011,34.6713166765582,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2010,35.0445074417939,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2009,33.2814547555033,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2008,33.3219051400184,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2007,33.4534726075138,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2006,32.8905534634843,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2005,33.765623625266,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2004,35.4622606196034,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2003,32.9818632710753,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2002,31.4544008611462,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2001,31.9376371844073,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
2000,33.8935814020484,"Korea, Rep.",KR,NY.GNS.ICTR.ZS,Economy & Growth
