ano,valor,pais,codigo_pais,indicador,categoria
2023,28.2389376961993,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2022,26.7393200232415,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2021,28.3653942276863,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2020,27.6958519418252,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2019,27.2305596075706,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2018,27.3205630602232,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2017,28.5919840470326,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2016,28.2698940113082,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2015,28.2585975133406,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2014,25.3178069034488,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2013,32.6458212426442,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2012,31.3128638814765,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2011,33.7600402979309,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2010,35.0441029952415,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2009,35.5107209630811,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2008,40.1903074480226,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2007,39.9382107425572,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2006,39.9238782667544,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2005,38.7785200834296,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2004,39.3567808755571,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2003,39.2280536829046,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2002,37.9641136404049,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2001,38.5728458304454,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
2000,32.4272863830748,Morocco,MA,NY.GNS.ICTR.ZS,Economy & Growth
