ano,valor,pais,codigo_pais,indicador,categoria
2023,11.1934934261227,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2022,9.2830172103318,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2021,9.47646887380801,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2020,10.5501697610733,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2019,3.88142547904384,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2018,3.19190959657608,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2017,34.7038575891453,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2016,35.9607504201938,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2015,36.4944382107763,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2014,47.2544379101081,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2013,28.1852659437652,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2012,45.3151231215429,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2011,43.0381692591849,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2010,49.0868707338903,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2009,35.4444086678146,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2008,31.1443427778882,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2007,30.0369177190829,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2006,35.9689428123708,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2005,35.3762344055917,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2004,31.7855813574465,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2003,37.4402549782478,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2002,38.1581922005127,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2001,35.4556702550543,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
2000,-9.49202893757255,Sierra Leone,SL,NY.GNS.ICTR.ZS,Economy & Growth
