ano,valor,pais,codigo_pais,indicador,categoria
2023,22.5850617968389,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2022,20.4579293848277,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2021,21.4789405326632,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2020,20.4644619024851,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2019,18.2806094188124,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2018,18.7537576105085,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2017,15.7027825940708,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2016,16.3710741296934,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2015,16.2663493298318,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2014,13.2360066569867,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2013,13.8404380680251,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2012,10.836214786639,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2011,10.438766713239,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2010,13.7829139764781,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2009,14.7796792045537,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2008,9.13396017199165,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2007,10.4924065441036,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2006,,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2005,,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2004,,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2003,,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2002,,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2001,,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
2000,,Serbia,RS,NY.GNS.ICTR.ZS,Economy & Growth
