ano,valor,pais,codigo_pais,indicador,categoria
2023,9.7577070586298,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2022,5.68965856340341,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2021,8.6996249401531,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2020,5.56614906861922,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2019,10.2514531426079,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2018,10.6815524034313,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2017,10.9631757203845,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2016,11.6645618978206,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2015,12.9451171574861,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2014,14.8704877368616,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2013,14.8872881086215,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2012,16.8895701302522,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2011,16.4969739959665,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2010,21.4283277441283,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2009,20.9578848343138,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2008,21.2131749939468,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2007,20.741809223725,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2006,21.1623779946761,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2005,20.2065858532109,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2004,21.1027729156311,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2003,20.2749528169457,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2002,20.2664330063587,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2001,22.0384057587018,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
2000,22.1717495258948,Tunisia,TN,NY.GNS.ICTR.ZS,Economy & Growth
