ano,valor,pais,codigo_pais,indicador,categoria
2023,26.5639051404963,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2022,30.0297470100566,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2021,30.6223917623945,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2020,27.0732878411325,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2019,26.3913054285411,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2018,27.9879252463876,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2017,26.0568650904151,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2016,24.9819093330236,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2015,25.214418163276,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2014,24.8999487586543,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2013,23.9117362411612,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2012,23.3804266505916,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2011,23.0272709507548,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2010,21.7976397251872,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2009,21.9497022045759,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2008,24.620375305765,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2007,23.9122557774335,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2006,24.626761994941,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2005,23.6403603068211,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2004,22.3067328657734,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2003,20.6537124414179,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2002,22.4525992049266,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2001,21.5200882457826,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
2000,21.4039696243972,Turkiye,TR,NY.GNS.ICTR.ZS,Economy & Growth
