ano,valor,pais,codigo_pais,indicador,categoria
2023,,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,36.66087603456,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,34.718947760268,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,30.3854875283447,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,30.5384804524219,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,30.6177378060789,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,26.8514251859654,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,25.675385166607,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,28.168202764977,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,28.0904280904281,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,31.7174959871589,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,29.2709585747076,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,25.4351178673717,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,24.6993180409175,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,24.0389678778304,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,25.023724222467,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,24.3870545930043,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,24.2030866868599,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,24.1507003703107,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,22.6375711574953,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,27.3815339521251,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,30.697129466901,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,31.1326468806784,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,27.7985611510791,Bulgaria,BG,NV.MNF.TECH.ZS.UN,Economy & Growth
