ano,valor,pais,codigo_pais,indicador,categoria
2023,,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,27.7735162197785,"Bahamas, The",BS,NV.MNF.TECH.ZS.UN,Economy & Growth
