ano,valor,pais,codigo_pais,indicador,categoria
2023,,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,39.750339673913,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,36.0295633226348,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,36.7794004611837,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,37.3240843824042,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,38.0703087618565,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,38.4677582373155,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,37.3751868460389,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,36.6098930965755,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,36.0551339090988,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,33.9298820075651,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,34.1269615242218,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,36.1079448307306,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,38.0738537227195,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,32.578044757073,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,32.6820603907638,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,29.8432282528723,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,33.0786692377163,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,29.5655830983128,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,27.1298576169575,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,26.3129746496952,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,29.9977542388741,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,36.6062331193091,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,39.4965091107193,"Hong Kong SAR, China",HK,NV.MNF.TECH.ZS.UN,Economy & Growth
