ano,valor,pais,codigo_pais,indicador,categoria
2023,,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,41.5552286346714,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,41.4349504178759,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,44.3669829789739,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,45.2357557721183,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,44.4484380908462,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,41.1977535693425,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,41.392282940074,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,42.8636137886518,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,38.66609008803,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,37.609445685235,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,39.5800495388695,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,40.5115933943241,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,38.1279927967049,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,39.3757615409287,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,37.0531108247174,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,34.134821489612,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,36.1397619134743,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,39.2443916811731,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,37.2208816591799,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,39.1247299697963,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,39.2937727082061,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,41.7743120372273,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,41.0290168648904,India,IN,NV.MNF.TECH.ZS.UN,Economy & Growth
