ano,valor,pais,codigo_pais,indicador,categoria
2023,,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,39.0923255376632,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,33.3416350036843,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,31.802660881664,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,12.2012457098219,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,27.8379452696656,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,42.7168885206871,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,36.992090894946,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,37.9884046381447,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,17.5694686791136,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,5.69901253714137,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,5.36508592806984,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,8.52744310575636,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,19.1644747359284,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,16.6343576865508,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,44.9243982572627,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,45.0837202725678,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,41.9544511792168,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,35.3003307526414,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,40.981263205268,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,40.8397178518222,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,35.1726798030696,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,37.4729152198072,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,44.8128159582596,Malta,MT,NV.MNF.TECH.ZS.UN,Economy & Growth
