ano,valor,pais,codigo_pais,indicador,categoria
2023,,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,14.8582371397348,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,14.8582366710946,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,14.8582370767174,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,14.8582371374323,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,14.8582370186147,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,14.8582387294132,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,14.8582376084427,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,14.8582391106488,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,16.0641897636653,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,15.878007926918,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,18.8508172989349,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,13.9868950805528,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,16.2573716900688,Montenegro,ME,NV.MNF.TECH.ZS.UN,Economy & Growth
