ano,valor,pais,codigo_pais,indicador,categoria
2023,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,,New Caledonia,NC,NV.MNF.TECH.ZS.UN,Economy & Growth
